id,customer_id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
1,7590-VHVEG,2020-01-01,,Month-to-month,Yes,Electronic check,29.85,29.85,DSL,No,Yes,No,No,No,No,Female,0,Yes,No,No,0
2,5575-GNVDE,2017-04-01,,One year,No,Mailed check,56.95,1889.5,DSL,Yes,No,Yes,No,No,No,Male,0,No,No,No,0
3,3668-QPYBK,2019-10-01,2019-12-01,Month-to-month,Yes,Mailed check,53.85,108.15,DSL,Yes,Yes,No,No,No,No,Male,0,No,No,No,1
4,7795-CFOCW,2016-05-01,,One year,No,Bank transfer (automatic),42.3,1840.75,DSL,Yes,No,Yes,Yes,No,No,Male,0,No,No,No,0
5,9237-HQITU,2019-09-01,2019-11-01,Month-to-month,Yes,Electronic check,70.7,151.65,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
6,9305-CDSKC,2019-03-01,2019-11-01,Month-to-month,Yes,Electronic check,99.65,820.5,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,1
7,1452-KIOVK,2018-04-01,,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,Fiber optic,No,Yes,No,No,Yes,No,Male,0,No,Yes,Yes,0
8,6713-OKOMC,2019-04-01,,Month-to-month,No,Mailed check,29.75,301.9,DSL,Yes,No,No,No,No,No,Female,0,No,No,No,0
9,7892-POOKP,2017-07-01,2019-11-01,Month-to-month,Yes,Electronic check,104.8,3046.05,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,1
10,6388-TABGU,2014-12-01,,One year,No,Bank transfer (automatic),56.15,3487.95,DSL,Yes,Yes,No,No,No,No,Male,0,No,Yes,No,0
11,9763-GRSKD,2019-01-01,,Month-to-month,Yes,Mailed check,49.95,587.45,DSL,Yes,No,No,No,No,No,Male,0,Yes,Yes,No,0
12,7469-LKBCI,2018-10-01,,Two year,No,Credit card (automatic),18.95,326.8,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
13,8091-TTVAX,2015-04-01,,One year,No,Credit card (automatic),100.35,5681.1,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,0
14,0280-XJGEX,2015-09-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,1
15,5129-JLPIS,2018-01-01,,Month-to-month,Yes,Electronic check,105.5,2686.05,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,0,No,No,No,0
16,3655-SNQYZ,2014-05-01,,Two year,No,Credit card (automatic),113.25,7895.15,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
17,8191-XWSZG,2015-10-01,,One year,No,Mailed check,20.65,1022.95,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
18,9959-WOFKT,2014-03-01,,Two year,No,Bank transfer (automatic),106.7,7382.25,Fiber optic,Yes,No,Yes,No,Yes,Yes,Male,0,No,Yes,Yes,0
19,4190-MFLUW,2019-01-01,2019-11-01,Month-to-month,No,Credit card (automatic),55.2,528.35,DSL,No,No,Yes,Yes,No,No,Female,0,Yes,Yes,No,1
20,4183-MYFRB,2018-05-01,,Month-to-month,Yes,Electronic check,90.05,1862.9,Fiber optic,No,Yes,Yes,No,No,Yes,Female,0,No,No,No,0
21,8779-QRDMV,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,39.65,39.65,DSL,No,No,Yes,No,No,Yes,Male,1,No,No,No,1
22,1680-VDCWW,2019-02-01,,One year,No,Bank transfer (automatic),19.8,202.25,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
23,1066-JKSGK,2019-11-01,2019-12-01,Month-to-month,No,Mailed check,20.15,20.15,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
24,3638-WEABW,2015-04-01,,Two year,Yes,Credit card (automatic),59.9,3505.1,DSL,No,Yes,No,Yes,No,No,Female,0,Yes,No,Yes,0
25,6322-HRPFA,2016-01-01,,Month-to-month,No,Credit card (automatic),59.6,2970.3,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,No,0
26,6865-JZNKO,2017-08-01,,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,DSL,Yes,Yes,No,No,No,No,Female,0,No,No,No,0
27,6467-CHFZW,2015-12-01,2019-11-01,Month-to-month,Yes,Electronic check,99.35,4749.15,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,1
28,8665-UTDHZ,2019-11-01,2019-12-01,Month-to-month,No,Electronic check,30.2,30.2,DSL,No,Yes,No,No,No,No,Male,0,Yes,Yes,No,1
29,5248-YGIJN,2014-02-01,,Two year,Yes,Credit card (automatic),90.25,6369.45,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
30,8773-HHUOZ,2018-06-01,2019-11-01,Month-to-month,Yes,Mailed check,64.7,1093.1,DSL,No,No,No,No,Yes,Yes,Female,0,No,Yes,No,1
31,3841-NFECX,2014-03-01,,Two year,Yes,Credit card (automatic),96.35,6766.95,Fiber optic,Yes,Yes,Yes,Yes,No,No,Female,1,Yes,No,Yes,0
32,4929-XIHVW,2019-12-01,,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,No,0
33,6827-IEAUQ,2017-11-01,,One year,No,Mailed check,66.15,1874.45,DSL,Yes,Yes,Yes,Yes,No,No,Female,0,Yes,Yes,No,0
34,7310-EGVHZ,2020-01-01,,Month-to-month,No,Bank transfer (automatic),20.2,20.2,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
35,3413-BMNZE,2020-01-01,,Month-to-month,No,Bank transfer (automatic),45.25,45.25,DSL,No,No,No,No,No,No,Male,1,No,No,No,0
36,6234-RAAPL,2014-02-01,,Two year,No,Bank transfer (automatic),99.9,7251.7,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,0
37,6047-YHPVI,2019-06-01,2019-11-01,Month-to-month,Yes,Electronic check,69.7,316.9,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
38,6572-ADKRS,2016-04-01,,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,Fiber optic,No,No,Yes,No,No,No,Female,0,No,No,No,0
39,5380-WJKOV,2017-02-01,2019-12-01,Month-to-month,Yes,Electronic check,106.35,3549.25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,1
40,8168-UQWWF,2018-12-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,1
41,8865-TNMNX,2019-04-01,,One year,No,Mailed check,49.55,475.7,DSL,No,Yes,No,No,No,No,Male,0,Yes,Yes,No,0
42,9489-DEDVP,2014-04-01,,Two year,Yes,Credit card (automatic),69.2,4872.35,DSL,Yes,Yes,No,No,Yes,No,Female,0,Yes,Yes,Yes,0
43,9867-JCZSP,2018-09-01,,One year,No,Mailed check,20.75,418.25,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
44,4671-VJLCL,2014-11-01,,Two year,Yes,Credit card (automatic),79.85,4861.45,DSL,Yes,Yes,Yes,Yes,Yes,No,Female,0,No,No,Yes,0
45,4080-IIARD,2019-01-01,,Month-to-month,Yes,Electronic check,76.2,981.45,DSL,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,No,Yes,0
46,3714-NTNFO,2016-01-01,,Month-to-month,Yes,Electronic check,84.5,3906.7,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,0
47,5948-UJZLF,2019-12-01,,Month-to-month,No,Mailed check,49.25,97.0,DSL,No,Yes,No,No,No,No,Male,0,No,No,No,0
48,7760-OYPDY,2019-11-01,2020-01-01,Month-to-month,Yes,Electronic check,80.65,144.15,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,No,1
49,7639-LIAYI,2015-10-01,,Two year,Yes,Credit card (automatic),79.75,4217.8,DSL,Yes,No,No,Yes,Yes,Yes,Male,0,No,No,Yes,0
50,2954-PIBKO,2014-05-01,,Two year,Yes,Credit card (automatic),64.15,4254.1,DSL,Yes,No,Yes,Yes,No,No,Female,0,Yes,Yes,Yes,0
51,8012-SOUDQ,2016-07-01,,Month-to-month,Yes,Electronic check,90.25,3838.75,Fiber optic,No,Yes,No,No,Yes,No,Female,1,No,No,Yes,0
52,9420-LOJKX,2018-09-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,No,No,No,1
53,6575-SUVOI,2018-01-01,,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,DSL,Yes,No,No,Yes,Yes,No,Female,1,Yes,No,Yes,0
54,7495-OOKFY,2019-03-01,2019-11-01,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Fiber optic,No,Yes,No,No,No,No,Female,1,Yes,No,Yes,1
55,4667-QONEA,2015-02-01,,One year,Yes,Credit card (automatic),74.85,4456.35,DSL,Yes,Yes,Yes,Yes,No,Yes,Female,1,Yes,Yes,No,0
56,1658-BYGOY,2018-07-01,2020-01-01,Month-to-month,Yes,Electronic check,95.45,1752.55,Fiber optic,No,No,No,No,Yes,Yes,Male,1,No,No,Yes,1
57,8769-KKTPH,2014-11-01,,One year,Yes,Credit card (automatic),99.65,6311.2,Fiber optic,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
58,5067-XJQFU,2014-08-01,,One year,Yes,Electronic check,108.45,7076.35,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,1,Yes,Yes,Yes,0
59,3957-SQXML,2017-04-01,,Two year,No,Credit card (automatic),24.95,894.3,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
60,5954-BDFSG,2014-02-01,,Two year,Yes,Credit card (automatic),107.5,7853.7,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0
61,0434-CSFON,2016-03-01,,Month-to-month,Yes,Electronic check,100.5,4707.1,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,0
62,1215-FIGMP,2015-02-01,,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Fiber optic,No,Yes,No,No,Yes,No,Male,0,No,No,Yes,0
63,0526-SXDJP,2014-02-01,,Two year,No,Bank transfer (automatic),42.1,2962.0,DSL,Yes,Yes,Yes,No,No,No,Male,0,Yes,No,No,0
64,0557-ASKVU,2018-08-01,,One year,Yes,Credit card (automatic),54.4,957.1,DSL,No,No,Yes,Yes,No,No,Female,0,Yes,Yes,No,0
65,5698-BQJOH,2019-04-01,2020-01-01,Month-to-month,No,Electronic check,94.4,857.25,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,Yes,1
66,5122-CYFXA,2019-11-01,,Month-to-month,Yes,Electronic check,75.3,244.1,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,No,No,No,0
67,8627-ZYGSZ,2016-03-01,,One year,Yes,Electronic check,78.9,3650.35,Fiber optic,No,Yes,No,No,No,No,Male,0,Yes,No,Yes,0
68,3410-YOQBQ,2017-07-01,,Two year,No,Mailed check,79.2,2497.2,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
69,3170-NMYVV,2015-12-01,,Two year,No,Bank transfer (automatic),20.15,930.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
70,7410-OIEDU,2019-04-01,,Month-to-month,Yes,Mailed check,79.85,887.35,Fiber optic,Yes,No,Yes,No,No,No,Male,0,No,No,No,0
71,2273-QCKXA,2020-01-01,,Month-to-month,No,Mailed check,49.05,49.05,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,0
72,0731-EBJQB,2015-10-01,,One year,Yes,Electronic check,20.4,1090.65,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
73,1891-QRQSA,2014-10-01,,Two year,Yes,Bank transfer (automatic),111.6,7099.0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,1,Yes,Yes,Yes,0
74,8028-PNXHQ,2014-12-01,,Two year,Yes,Bank transfer (automatic),24.25,1424.6,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0
75,5630-AHZIL,2019-11-01,,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,Yes,No,0
76,2673-CXQEU,2015-06-01,,One year,No,Electronic check,110.5,6139.5,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,1,No,No,Yes,0
77,6416-JNVRK,2016-04-01,,One year,No,Credit card (automatic),55.65,2688.85,DSL,No,No,No,No,No,Yes,Female,0,No,No,No,0
78,5590-ZSKRV,2019-06-01,,Month-to-month,No,Mailed check,54.65,482.25,DSL,Yes,Yes,No,No,No,No,Female,0,Yes,Yes,No,0
79,0191-ZHSKZ,2017-08-01,,Month-to-month,Yes,Electronic check,74.75,2111.3,DSL,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,No,0
80,3887-PBQAO,2016-05-01,,One year,Yes,Credit card (automatic),25.9,1216.6,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
81,5919-TMRGD,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,79.35,79.35,Fiber optic,No,No,No,No,Yes,No,Female,0,No,Yes,No,1
82,8108-UXRQN,2019-03-01,,Month-to-month,No,Electronic check,50.55,565.35,DSL,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,No,0
83,9191-MYQKX,2019-03-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Fiber optic,No,No,Yes,No,No,No,Female,0,Yes,No,No,1
84,9919-YLNNG,2016-08-01,,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
85,0318-ZOPWS,2016-01-01,,Two year,Yes,Bank transfer (automatic),20.15,973.35,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,0
86,4445-ZJNMU,2019-05-01,,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,No,No,Yes,0
87,4808-YNLEU,2017-03-01,,One year,Yes,Bank transfer (automatic),62.15,2215.45,DSL,Yes,No,No,No,Yes,No,Female,0,Yes,No,No,0
88,1862-QRWPE,2016-02-01,,Two year,No,Bank transfer (automatic),20.65,1057.0,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
89,2796-NNUFI,2016-04-01,,Two year,Yes,Mailed check,19.95,927.1,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
90,3016-KSVCP,2017-09-01,,Month-to-month,No,Mailed check,33.75,1009.25,DSL,No,No,No,No,Yes,No,Male,0,Yes,No,No,0
91,4767-HZZHQ,2017-08-01,,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,Fiber optic,No,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,0
92,2424-WVHPL,2020-01-01,,Month-to-month,No,Electronic check,74.7,74.7,Fiber optic,No,No,No,Yes,No,No,Male,1,No,No,No,0
93,7233-PAHHL,2014-08-01,,Two year,Yes,Mailed check,84.0,5714.25,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
94,6067-NGCEU,2014-09-01,,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,0
95,9848-JQJTX,2014-02-01,,Two year,Yes,Bank transfer (automatic),100.9,7459.05,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,0
96,8637-XJIVR,2018-12-01,2019-12-01,Month-to-month,Yes,Electronic check,78.95,927.35,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,Yes,1
97,9803-FTJCG,2014-03-01,,One year,Yes,Credit card (automatic),66.85,4748.7,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,0
98,0278-YXOOG,2019-06-01,2019-11-01,Month-to-month,No,Mailed check,21.05,113.85,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
99,3212-KXOCR,2015-10-01,,Two year,No,Bank transfer (automatic),21.0,1107.2,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
100,4598-XLKNJ,2017-12-01,2020-01-01,Month-to-month,Yes,Electronic check,98.5,2514.5,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,No,1
101,3679-XASPY,2020-01-01,,Month-to-month,No,Electronic check,19.45,19.45,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
102,7123-WQUHX,2016-12-01,,One year,No,Bank transfer (automatic),95.0,3605.6,Fiber optic,No,No,Yes,Yes,Yes,No,Male,0,No,No,Yes,0
103,5386-THSLQ,2014-08-01,,One year,No,Bank transfer (automatic),45.55,3027.25,DSL,No,Yes,Yes,No,Yes,No,Female,1,Yes,No,No,0
104,3192-NQECA,2014-03-01,2019-11-01,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,1
105,6180-YBIQI,2019-09-01,,Month-to-month,No,Mailed check,24.3,100.2,DSL,No,No,No,No,No,No,Male,0,No,No,No,0
106,6728-DKUCO,2014-02-01,,One year,Yes,Electronic check,104.15,7303.05,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
107,9750-BOOHV,2017-06-01,,One year,No,Mailed check,30.15,927.65,DSL,Yes,No,No,No,No,No,Female,0,No,No,No,0
108,8597-CWYHH,2016-07-01,,One year,No,Mailed check,94.35,3921.3,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,0
109,2848-YXSMW,2014-02-01,,Two year,No,Credit card (automatic),19.4,1363.25,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
110,0486-HECZI,2015-05-01,2019-12-01,Month-to-month,Yes,Electronic check,96.75,5238.9,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,No,Yes,1
111,4549-ZDQYY,2015-10-01,,One year,No,Credit card (automatic),57.95,3042.25,DSL,Yes,No,Yes,Yes,No,No,Female,0,No,No,No,0
112,5712-AHQNN,2016-07-01,,Month-to-month,Yes,Electronic check,91.65,3954.1,Fiber optic,No,Yes,Yes,No,Yes,No,Female,0,No,No,No,0
113,4846-WHAFZ,2016-10-01,2019-11-01,Month-to-month,Yes,Electronic check,76.5,2868.15,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,Yes,1
