iter	Passed	Remaining
0	1	489
1	3	451
2	4	439
3	5	431
4	7	435
5	8	433
6	10	435
7	11	431
8	13	423
9	14	419
10	15	415
11	17	413
12	18	414
13	20	410
14	21	410
15	23	412
16	25	416
17	26	413
18	27	412
19	29	409
20	30	407
21	32	404
22	33	402
23	35	402
24	36	400
25	37	399
26	39	397
27	40	394
28	42	393
29	43	391
30	44	390
31	46	389
32	47	386
33	49	384
34	50	383
35	52	381
36	53	379
37	54	377
38	56	375
39	57	374
40	58	372
41	60	371
42	61	369
43	63	368
44	64	366
45	66	365
46	67	363
47	69	362
48	70	361
49	71	359
50	73	358
51	74	356
52	76	355
53	77	354
54	79	353
55	80	351
56	82	349
57	83	348
58	84	347
59	86	345
60	87	344
61	89	342
62	90	341
63	92	339
64	93	337
65	94	336
66	96	334
67	97	332
68	98	330
69	100	329
70	101	328
71	103	326
72	104	324
73	105	323
74	107	322
75	108	320
76	110	318
77	111	317
78	113	316
79	114	314
80	115	313
81	117	311
82	118	310
83	120	308
84	121	307
85	122	305
86	124	304
87	125	303
88	127	302
89	128	300
90	130	298
91	131	297
92	133	296
93	134	294
94	135	293
95	137	291
96	138	290
97	140	288
98	141	287
99	142	285
100	144	284
101	145	282
102	147	281
103	148	280
104	150	278
105	151	277
106	152	275
107	154	274
108	155	273
109	157	271
110	158	270
111	160	268
112	161	267
113	163	265
114	164	264
115	165	263
116	167	261
117	168	260
118	170	258
119	171	257
120	172	255
121	174	254
122	175	252
123	177	251
124	178	250
125	179	248
126	181	247
127	182	245
128	184	244
129	185	242
130	187	241
131	188	239
132	189	238
133	191	237
134	192	235
135	194	234
136	195	232
137	196	231
138	198	229
139	199	228
140	201	226
141	202	225
142	203	223
143	205	222
144	206	221
145	208	219
146	209	218
147	211	216
148	212	215
149	214	214
150	215	212
151	217	211
152	218	209
153	219	208
154	221	207
155	222	205
156	224	204
157	225	202
158	227	201
159	228	200
160	230	198
161	231	197
162	233	195
163	234	194
164	236	193
165	237	191
166	238	190
167	240	188
168	241	187
169	242	185
170	244	184
171	245	182
172	246	181
173	248	179
174	249	178
175	251	177
176	252	175
177	254	174
178	255	172
179	257	171
180	258	170
181	259	168
182	261	167
183	263	165
184	264	164
185	265	162
186	267	161
187	268	160
188	270	158
189	271	157
190	273	155
191	274	154
192	275	152
193	277	151
194	278	150
195	280	148
196	281	147
197	283	145
198	284	144
199	286	143
200	287	141
201	289	140
202	290	138
203	292	137
204	293	136
205	295	134
206	296	133
207	298	131
208	299	130
209	300	128
210	302	127
211	303	126
212	305	124
213	306	123
214	308	121
215	309	120
216	310	118
217	312	117
218	313	116
219	315	114
220	316	113
221	317	111
222	319	110
223	320	108
224	322	107
225	323	105
226	325	104
227	326	103
228	327	101
229	329	100
230	330	98
231	331	97
232	333	95
233	334	94
234	336	92
235	337	91
236	338	90
237	340	88
238	341	87
239	343	85
240	344	84
241	346	82
242	347	81
243	348	80
244	350	78
245	351	77
246	353	75
247	354	74
248	355	72
249	357	71
250	358	70
251	360	68
252	361	67
253	362	65
254	364	64
255	365	62
256	367	61
257	368	60
258	370	58
259	371	57
260	372	55
261	374	54
262	375	52
263	377	51
264	378	50
265	380	48
266	381	47
267	382	45
268	384	44
269	385	42
270	387	41
271	388	39
272	389	38
273	391	37
274	392	35
275	394	34
276	395	32
277	396	31
278	398	29
279	399	28
280	400	27
281	402	25
282	403	24
283	404	22
284	406	21
285	407	19
286	409	18
287	410	17
288	412	15
289	413	14
290	415	12
291	416	11
292	417	9
293	419	8
294	420	7
295	422	5
296	423	4
297	425	2
298	426	1
299	428	0
