,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
35,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34)",[0.75415759 0.73696043 0.76627091 0.762718  ],0.755026734129552,"('num__spline__monthly_charges_sp_0', 'num__spline__monthly_charges_sp_1', 'num__spline__monthly_charges_sp_2', 'num__spline__monthly_charges_sp_3', 'num__spline__monthly_charges_sp_4', 'num__spline__monthly_charges_sp_5', 'num__spline__total_charges_sp_0', 'num__spline__total_charges_sp_1', 'num__spline__total_charges_sp_2', 'num__spline__total_charges_sp_3', 'num__spline__total_charges_sp_4', 'num__spline__total_charges_sp_5', 'num__quantile__monthly_charges', 'num__quantile__total_charges', 'num__robust__monthly_charges', 'num__robust__total_charges', 'num__poly__1', 'num__poly__monthly_charges', 'num__poly__total_charges', 'num__poly__monthly_charges^2', 'num__poly__monthly_charges total_charges', 'num__poly__total_charges^2', 'num__poly__monthly_charges^3', 'num__poly__monthly_charges^2 total_charges', 'num__poly__monthly_charges total_charges^2', 'num__poly__total_charges^3', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.01814865572100055,0.011321813544593416,0.00653665209768576
34,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34)",[0.7580207  0.73914214 0.76723064 0.76510144],0.7573737280577734,"('num__spline__monthly_charges_sp_0', 'num__spline__monthly_charges_sp_1', 'num__spline__monthly_charges_sp_2', 'num__spline__monthly_charges_sp_3', 'num__spline__monthly_charges_sp_4', 'num__spline__monthly_charges_sp_5', 'num__spline__total_charges_sp_0', 'num__spline__total_charges_sp_1', 'num__spline__total_charges_sp_2', 'num__spline__total_charges_sp_3', 'num__spline__total_charges_sp_4', 'num__spline__total_charges_sp_5', 'num__quantile__monthly_charges', 'num__quantile__total_charges', 'num__robust__monthly_charges', 'num__robust__total_charges', 'num__poly__1', 'num__poly__monthly_charges', 'num__poly__total_charges', 'num__poly__monthly_charges total_charges', 'num__poly__total_charges^2', 'num__poly__monthly_charges^3', 'num__poly__monthly_charges^2 total_charges', 'num__poly__monthly_charges total_charges^2', 'num__poly__total_charges^3', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.017736061437514848,0.011064421723457878,0.006388046860465948
33,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34)",[0.75646595 0.74033273 0.77180366 0.76423387],0.7582090531495077,"('num__spline__monthly_charges_sp_0', 'num__spline__monthly_charges_sp_1', 'num__spline__monthly_charges_sp_2', 'num__spline__monthly_charges_sp_3', 'num__spline__monthly_charges_sp_4', 'num__spline__monthly_charges_sp_5', 'num__spline__total_charges_sp_0', 'num__spline__total_charges_sp_1', 'num__spline__total_charges_sp_2', 'num__spline__total_charges_sp_3', 'num__spline__total_charges_sp_4', 'num__spline__total_charges_sp_5', 'num__quantile__monthly_charges', 'num__quantile__total_charges', 'num__robust__monthly_charges', 'num__robust__total_charges', 'num__poly__1', 'num__poly__monthly_charges', 'num__poly__total_charges', 'num__poly__monthly_charges total_charges', 'num__poly__monthly_charges^3', 'num__poly__monthly_charges^2 total_charges', 'num__poly__monthly_charges total_charges^2', 'num__poly__total_charges^3', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.018688879037859953,0.011658825153604576,0.006731225840868381
32,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34)",[0.75897064 0.73918963 0.76922319 0.7660135 ],0.7583492413751919,"('num__spline__monthly_charges_sp_0', 'num__spline__monthly_charges_sp_1', 'num__spline__monthly_charges_sp_2', 'num__spline__monthly_charges_sp_3', 'num__spline__monthly_charges_sp_4', 'num__spline__monthly_charges_sp_5', 'num__spline__total_charges_sp_0', 'num__spline__total_charges_sp_1', 'num__spline__total_charges_sp_2', 'num__spline__total_charges_sp_4', 'num__spline__total_charges_sp_5', 'num__quantile__monthly_charges', 'num__quantile__total_charges', 'num__robust__monthly_charges', 'num__robust__total_charges', 'num__poly__1', 'num__poly__monthly_charges', 'num__poly__total_charges', 'num__poly__monthly_charges total_charges', 'num__poly__monthly_charges^3', 'num__poly__monthly_charges^2 total_charges', 'num__poly__monthly_charges total_charges^2', 'num__poly__total_charges^3', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.018701721556437564,0.011666836799371286,0.006735851366708444
31,"(0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34)",[0.76086103 0.74086787 0.77218501 0.76524445],0.7597895872298956,"('num__spline__monthly_charges_sp_0', 'num__spline__monthly_charges_sp_1', 'num__spline__monthly_charges_sp_2', 'num__spline__monthly_charges_sp_3', 'num__spline__monthly_charges_sp_4', 'num__spline__monthly_charges_sp_5', 'num__spline__total_charges_sp_0', 'num__spline__total_charges_sp_1', 'num__spline__total_charges_sp_4', 'num__spline__total_charges_sp_5', 'num__quantile__monthly_charges', 'num__quantile__total_charges', 'num__robust__monthly_charges', 'num__robust__total_charges', 'num__poly__1', 'num__poly__monthly_charges', 'num__poly__total_charges', 'num__poly__monthly_charges total_charges', 'num__poly__monthly_charges^3', 'num__poly__monthly_charges^2 total_charges', 'num__poly__monthly_charges total_charges^2', 'num__poly__total_charges^3', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.01866942175696618,0.01164668697049335,0.006724217857581642
30,"(0, 1, 2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34)",[0.76052222 0.74201097 0.77475594 0.76456437],0.7604633732125501,"('num__spline__monthly_charges_sp_0', 'num__spline__monthly_charges_sp_1', 'num__spline__monthly_charges_sp_2', 'num__spline__monthly_charges_sp_3', 'num__spline__monthly_charges_sp_4', 'num__spline__monthly_charges_sp_5', 'num__spline__total_charges_sp_1', 'num__spline__total_charges_sp_4', 'num__spline__total_charges_sp_5', 'num__quantile__monthly_charges', 'num__quantile__total_charges', 'num__robust__monthly_charges', 'num__robust__total_charges', 'num__poly__1', 'num__poly__monthly_charges', 'num__poly__total_charges', 'num__poly__monthly_charges total_charges', 'num__poly__monthly_charges^3', 'num__poly__monthly_charges^2 total_charges', 'num__poly__monthly_charges total_charges^2', 'num__poly__total_charges^3', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.018993641910421518,0.011848947687829743,0.006840993137182296
29,"(0, 1, 2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34)",[0.75980659 0.74100719 0.77619553 0.76876557],0.7614437219863606,"('num__spline__monthly_charges_sp_0', 'num__spline__monthly_charges_sp_1', 'num__spline__monthly_charges_sp_2', 'num__spline__monthly_charges_sp_3', 'num__spline__monthly_charges_sp_4', 'num__spline__monthly_charges_sp_5', 'num__spline__total_charges_sp_1', 'num__spline__total_charges_sp_4', 'num__spline__total_charges_sp_5', 'num__quantile__monthly_charges', 'num__quantile__total_charges', 'num__robust__monthly_charges', 'num__poly__1', 'num__poly__monthly_charges', 'num__poly__total_charges', 'num__poly__monthly_charges total_charges', 'num__poly__monthly_charges^3', 'num__poly__monthly_charges^2 total_charges', 'num__poly__monthly_charges total_charges^2', 'num__poly__total_charges^3', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.021077180903677363,0.013148737620327953,0.007591427204600103
28,"(0, 1, 2, 3, 4, 5, 7, 10, 11, 12, 14, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34)",[0.76616172 0.74223579 0.77491483 0.76928039],0.763148183212722,"('num__spline__monthly_charges_sp_0', 'num__spline__monthly_charges_sp_1', 'num__spline__monthly_charges_sp_2', 'num__spline__monthly_charges_sp_3', 'num__spline__monthly_charges_sp_4', 'num__spline__monthly_charges_sp_5', 'num__spline__total_charges_sp_1', 'num__spline__total_charges_sp_4', 'num__spline__total_charges_sp_5', 'num__quantile__monthly_charges', 'num__robust__monthly_charges', 'num__poly__1', 'num__poly__monthly_charges', 'num__poly__total_charges', 'num__poly__monthly_charges total_charges', 'num__poly__monthly_charges^3', 'num__poly__monthly_charges^2 total_charges', 'num__poly__monthly_charges total_charges^2', 'num__poly__total_charges^3', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.019996632469963787,0.012474650895642807,0.007202243052645981
27,"(0, 1, 2, 3, 4, 5, 7, 11, 12, 14, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34)",[0.77098744 0.74557643 0.77659913 0.76899756],0.7655401365971849,"('num__spline__monthly_charges_sp_0', 'num__spline__monthly_charges_sp_1', 'num__spline__monthly_charges_sp_2', 'num__spline__monthly_charges_sp_3', 'num__spline__monthly_charges_sp_4', 'num__spline__monthly_charges_sp_5', 'num__spline__total_charges_sp_1', 'num__spline__total_charges_sp_5', 'num__quantile__monthly_charges', 'num__robust__monthly_charges', 'num__poly__1', 'num__poly__monthly_charges', 'num__poly__total_charges', 'num__poly__monthly_charges total_charges', 'num__poly__monthly_charges^3', 'num__poly__monthly_charges^2 total_charges', 'num__poly__monthly_charges total_charges^2', 'num__poly__total_charges^3', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.01900864512778746,0.011858307258709124,0.006846396887949005
26,"(0, 1, 2, 3, 4, 5, 7, 11, 12, 14, 16, 17, 18, 20, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34)",[0.77145291 0.74943953 0.77751754 0.77150175],0.7674779343149774,"('num__spline__monthly_charges_sp_0', 'num__spline__monthly_charges_sp_1', 'num__spline__monthly_charges_sp_2', 'num__spline__monthly_charges_sp_3', 'num__spline__monthly_charges_sp_4', 'num__spline__monthly_charges_sp_5', 'num__spline__total_charges_sp_1', 'num__spline__total_charges_sp_5', 'num__quantile__monthly_charges', 'num__robust__monthly_charges', 'num__poly__1', 'num__poly__monthly_charges', 'num__poly__total_charges', 'num__poly__monthly_charges total_charges', 'num__poly__monthly_charges^3', 'num__poly__monthly_charges^2 total_charges', 'num__poly__monthly_charges total_charges^2', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.01715581721421008,0.010702443568845454,0.0061790586754597015
