,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(27,)",[0.71059948 0.6801126  0.70700603 0.69262597],0.6975860189968734,"('num__kbins__total_charges',)",0.01943526562751279,0.012124449160701475,0.007000053986706929
2,"(27, 33)",[0.76836559 0.76266276 0.78876735 0.76007398],0.7699674198836893,"('num__kbins__total_charges', 'cat__internet_service_Fiber optic')",0.018051190855079814,0.011261011298076253,0.006501547904291742
3,"(27, 28, 33)",[0.77530652 0.77091777 0.79679794 0.78210645],0.7812821677879134,"('num__kbins__total_charges', 'cat__type_One year', 'cat__internet_service_Fiber optic')",0.01571713983521129,0.009804942548039782,0.005660886219499584
4,"(27, 28, 29, 33)",[0.78541392 0.78304856 0.80649692 0.78352062],0.7896200064024643,"('num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__internet_service_Fiber optic')",0.01568359567815248,0.00978401644213041,0.005648804526619717
5,"(26, 27, 28, 29, 33)",[0.78284591 0.78867223 0.81269067 0.78897074],0.7932948875302566,"('num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__internet_service_Fiber optic')",0.018372239415569553,0.011461293456518374,0.00661718086238218
6,"(16, 26, 27, 28, 29, 33)",[0.7829219  0.78843475 0.81277012 0.78783305],0.7929899537049061,"('num__poly__1', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__internet_service_Fiber optic')",0.018624345618149532,0.011618566780941142,0.006707982658574012
7,"(16, 26, 27, 28, 29, 31, 33)",[0.78907754 0.77277333 0.81145129 0.78577694],0.7897697740902208,"('num__poly__1', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Electronic check', 'cat__internet_service_Fiber optic')",0.02231815655563924,0.013922904873312686,0.008038392876508631
8,"(16, 26, 27, 28, 29, 31, 32, 33)",[0.78264958 0.77086078 0.8071484  0.7842134 ],0.786218039919516,"('num__poly__1', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic')",0.021063775298100634,0.01314037469972792,0.007586598870140461
9,"(16, 26, 27, 28, 29, 30, 31, 32, 33)",[0.76807744 0.76975251 0.80102774 0.77485445],0.7784280339368104,"('num__poly__1', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic')",0.02129487874982623,0.013284545718792513,0.007669836046806748
10,"(11, 16, 26, 27, 28, 29, 30, 31, 32, 33)",[0.76002508 0.76031323 0.78421976 0.77180366],0.769090430419177,"('num__spline__total_charges_sp_5', 'num__poly__1', 'num__kbins__monthly_charges', 'num__kbins__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic')",0.01593894838507546,0.009943315057980165,0.0057407756253621085
